webtoon_title,webtoon_author,genre_num,webtoon_available_age,webtoon_rating,webtoon_subscribe_num,webtoon_view_count,webtoon_release_day,webtoon_page_url,webtoon_thumbnail_url,platform_num
중세 판타지 속 망나니 경비조장,스튜디오MW / 김가든 / 곰돌이는,5,15,9.93,33183.0,,1,https://comic.naver.com/webtoon/list?titleId=831416&tab=mon,https://image-comic.pstatic.net/webtoon/831416/thumbnail/thumbnail_IMAG21_d1882e45-b983-4b8f-9a21-17202090eeaa.jpg,0
토마토가 돼라!,뮤리,2,15,9.98,309045.0,,1,https://comic.naver.com/webtoon/list?titleId=805702&tab=mon,https://image-comic.pstatic.net/webtoon/805702/thumbnail/thumbnail_IMAG21_d862f8dd-6f21-4abf-a51c-7e00128aaae4.jpg,0
무벌전,노백,3,15,9.89,34909.0,,1,https://comic.naver.com/webtoon/list?titleId=827322&tab=mon,https://image-comic.pstatic.net/webtoon/827322/thumbnail/thumbnail_IMAG21_11e2cfaf-c327-457e-8b33-a79f0b1e9252.jpg,0
어린이집 다니는 구나,구나,6,0,9.98,104608.0,,1,https://comic.naver.com/webtoon/list?titleId=817945&tab=mon,https://image-comic.pstatic.net/webtoon/817945/thumbnail/thumbnail_IMAG21_120ad315-8518-4430-bb30-739654b49635.jpg,0
학식의 꿈,으앵,2,15,9.98,203394.0,,1,https://comic.naver.com/webtoon/list?titleId=818403&tab=mon,https://image-comic.pstatic.net/webtoon/818403/thumbnail/thumbnail_IMAG21_2eebc0ef-2354-4036-8c32-4fbb4682f345.jpg,0
영업 천재가 되었다,혜림 / 댄킴,5,0,9.91,51468.0,,1,https://comic.naver.com/webtoon/list?titleId=818780&tab=mon,https://image-comic.pstatic.net/webtoon/818780/thumbnail/thumbnail_IMAG21_ad3cf05d-0b97-47f6-8d4b-181e5906fcca.jpg,0
아포칼립스에 집을 숨김,DD / 송지형 / 로드워리어,4,15,9.78,59650.0,,1,https://comic.naver.com/webtoon/list?titleId=825332&tab=mon,https://image-comic.pstatic.net/webtoon/825332/thumbnail/thumbnail_IMAG21_2ed9c081-22b0-4fd5-8670-8f0dcd0ed578.jpg,0
만렙돌파,"성불예정, 준1 / 미노",5,15,9.45,249959.0,,1,https://comic.naver.com/webtoon/list?titleId=759940&tab=mon,https://image-comic.pstatic.net/webtoon/759940/thumbnail/thumbnail_IMAG21_3976787538998813497.jpg,0
잘 헤어지는 방법,강문송 / 1172,6,18,9.92,64170.0,,1,https://comic.naver.com/webtoon/list?titleId=826348&tab=mon,https://image-comic.pstatic.net/webtoon/826348/thumbnail/thumbnail_IMAG21_3f574fdb-3f86-40e7-a59b-a2023e00eadc.jpg,0
우리 안 사귀어!!,이경민 / 송준혁,2,15,9.64,77230.0,,1,https://comic.naver.com/webtoon/list?titleId=828670&tab=mon,https://image-comic.pstatic.net/webtoon/828670/thumbnail/thumbnail_IMAG21_a4cae658-a143-4c06-a226-b5cf61cbe30a.jpg,0
제왕,"김남규 / 애풍, 아쿠아콘",4,0,9.92,61590.0,,1,https://comic.naver.com/webtoon/list?titleId=783535&tab=mon,https://image-comic.pstatic.net/webtoon/783535/thumbnail/thumbnail_IMAG21_4b6a83cd-a5e9-408f-bbac-244f25240394.jpg,0
폭력의 왕,LICO / 한경찬,4,15,9.82,99524.0,,1,https://comic.naver.com/webtoon/list?titleId=824890&tab=mon,https://image-comic.pstatic.net/webtoon/824890/thumbnail/thumbnail_IMAG21_43594c54-6e43-412a-a7a5-2b2e1d4be956.jpg,0
악당 가족이 독립을 반대한다,밋츄 / 하티 / 이흰,2,0,9.97,140439.0,,1,https://comic.naver.com/webtoon/list?titleId=817365&tab=mon,https://image-comic.pstatic.net/webtoon/817365/thumbnail/thumbnail_IMAG21_fa059a74-ca14-4a89-b0d7-841a0c85139a.jpg,0
타이탄,네온비 / 장구,1,18,9.53,12304.0,,1,https://comic.naver.com/webtoon/list?titleId=829714&tab=mon,https://image-comic.pstatic.net/webtoon/829714/thumbnail/thumbnail_IMAG21_0ea0b576-241a-4036-b37b-cde80f9a4634.jpg,0
히어로메이커,빤쓰,5,0,9.93,81988.0,,1,https://comic.naver.com/webtoon/list?titleId=21815&tab=mon,https://image-comic.pstatic.net/webtoon/21815/thumbnail/thumbnail_IMAG21_7292511306663934265.jpg,0
위험하지 않아요 NPC씨,미라주,5,0,9.96,55350.0,,1,https://comic.naver.com/webtoon/list?titleId=828365&tab=mon,https://image-comic.pstatic.net/webtoon/828365/thumbnail/thumbnail_IMAG21_70c61676-5829-4aea-8ce3-99b9c2a4a65e.jpg,0
좀비묵시록 82-08,"달아 / 아쿠아콘, 경우 / 박스오피스",4,15,9.8,69286.0,,1,https://comic.naver.com/webtoon/list?titleId=814742&tab=mon,https://image-comic.pstatic.net/webtoon/814742/thumbnail/thumbnail_IMAG21_ec88007f-9d6f-43c2-9a4a-5cbdef1bbde4.jpg,0
개같이 탈출,갬쟈,1,0,9.95,116790.0,,1,https://comic.naver.com/webtoon/list?titleId=814594&tab=mon,https://image-comic.pstatic.net/webtoon/814594/thumbnail/thumbnail_IMAG21_8746b12b-566e-4375-b0ab-1eaf48e17a1d.jpg,0
불편한 편의점,ANGELA / p.P / 김호연,6,0,9.96,56017.0,,1,https://comic.naver.com/webtoon/list?titleId=824782&tab=mon,https://image-comic.pstatic.net/webtoon/824782/thumbnail/thumbnail_IMAG21_2e178b5a-a55c-4c80-aae7-4ad98a1f7563.jpg,0
구야는 신입,구야,6,0,9.92,23014.0,,1,https://comic.naver.com/webtoon/list?titleId=828167&tab=mon,https://image-comic.pstatic.net/webtoon/828167/thumbnail/thumbnail_IMAG21_f2b97f04-93f5-4bef-ac3b-7f407cba53f8.jpg,0
